,id,Post,toxic,severe_toxic,obscene,threat,insult,identity_hate,class,sum
12,0005c987bdfc9d4b,hey talk exclusive group taliban good destroy self appoint purist gang ask question abt anti social destructive ask sityush clean behavior issue nonsensical warn,1,0,0,0,0,0,toxic,1
16,0007e25b2121310b,bye look come think comme tosser,1,0,0,0,0,0,toxic,1
44,001956c382006abd,sorry sorry screw someone talk page bad know template talk page help assert dominance know bow almighty administrator play outside mom,1,0,0,0,0,0,toxic,1
59,002264ea4d5f2887,believe fat artie recent appearence tonight jay leno look absolutely awful money artie lange miss candidate dead pool kindly malicious finger comment everytime remove repost,1,0,0,0,0,0,toxic,1
151,005f59485fcddeb0,sorry puck say dick number clearly list second batman master detective martial artist train mention combat discpline need mention skill ability battle lose win encylopia suppose problem low end show high end show prove match meta slade pin shiva early appearence,1,0,0,0,0,0,toxic,1
159,00637960a7ec3436,unblock lawyer block constitutional right free speech,1,0,0,0,0,0,toxic,1
206,0082b5a7b4a67da2,permanat block raseac remember muslim worry image try hurt look image fake islam prophet article lame wikipedia authentic source encyclopedia kid authenticity edit write think raeasc know islam talk forget wiki lame authenticity recommend add piss christ jessus article,1,0,0,0,0,0,toxic,1
268,00ab65775c601cf9,atheism bias shit,1,0,0,0,0,0,toxic,1
278,00afb4dec99a231f,hey spread misconception try spread false information people know win battle cheap person earth bloody ignorant fool check source spread rumor,1,0,0,0,0,0,toxic,1
286,00b77cb600c897b4,let know crawl arsis dick laurent dead,1,0,0,0,0,0,toxic,1
300,00c1b6962307c80e,ridiculous fact suspect calton block care,1,0,0,0,0,0,toxic,1
330,00d429d337eaa672,god dead mean startle god dead worry anymore think let know goodbye good luck newfound crisis faith,1,0,0,0,0,0,toxic,1
335,00d7a73eb033ee5e,see reference claim moron source pov time reduce pashtun nationalist pov wiki order uncle cousin execution pashtuns entire northern afghanistan gardez jalalabad lashkargah logar paghman laghman kunduz herat farah whereever immigrant descandant violent kuchis settle take non pashtun land away traditional tajik country,1,0,0,0,0,0,toxic,1
342,00db176890cd71bf,thank hei william hope fan guess new ready vandalize william hope stop maybe delay stop let salute william hope lunacy shove nis mouth,1,0,0,0,0,0,toxic,1
423,01113aece2e95a73,careful moron,1,0,0,0,0,0,toxic,1
451,0125f95ac41f6cea,add mobile porn additional link,1,0,0,0,0,0,toxic,1
503,0152f55962c4f707,care believe sentence anymore,1,0,0,0,0,0,toxic,1
519,015bf1bda7ab6b9c,tell argument newseventsguy retroactive reversion simple edit try include secondary independent verification sedimentary nanodiamond younger dryas sediment bement madden discussion reference notice include reference list time admit ignorant peer review literature controversy attempt simple reference list edit page stomp admittedly bias ignorant editor honorable thing recuse edit page see happen good luck complete fool,1,0,0,0,0,0,toxic,1
529,016309265c788dc1,know jimbo life instead sit computer day high priestess knowledge,1,0,0,0,0,0,toxic,1
590,018e6f1e1b18723a,crap article parrot promotion website capoeira school myth origin persecution thing late capoeira word street brawl authority prohibit sanction practice capoeira ban capoeira ban outright street brawl mestre bimba present art luta regional baiana decent carioca eager sympathise capoeira malandrismo attempt alter article mess,1,0,0,0,0,0,toxic,1
610,01a04eaa73dc98ab,dislike racism problems people speak spanish antisemite,1,0,0,0,0,0,toxic,1
643,01bf0d4342ec4a2e,block mardyks guess loser know cockblocker hahahaha,1,0,0,0,0,0,toxic,1
655,01c7c962932560ee,wikipedia administrator defend mass murder psychopath,1,0,0,0,0,0,toxic,1
679,01d57127c5308743,thing straight firstly like look smug little prick secondly like ethnicity little bite like explain count thirdly dog bite bender,1,0,0,0,0,0,toxic,1
687,01dbc875f2d85f66,stop lame seriously watch pokemon,1,0,0,0,0,0,toxic,1
698,01e3882f09660e23,intend disruptive genuineley upset word constantly try look april fool joke explanation look uptight weirdo,1,0,0,0,0,0,toxic,1
700,01e7a01d501d578a,matt live monday thing invitation interview time hide let victim coward,1,0,0,0,0,0,toxic,1
718,01f0f77e6e58b347,help jew schnider final warn,1,0,0,0,0,0,toxic,1
722,01f304185a18cb7b,peddle crap hate article dispute neutrality,1,0,0,0,0,0,toxic,1
730,01fa2f1880fecd30,course true dub depaaarte likely,1,0,0,0,0,0,toxic,1
732,01fb5b0525dd9b05,muslim men harassment page amaze muslim man jump page right add number thing minute man muslim clean woman work human right pakistan skin badly wow sweetie bloody busy busy stop harass woman threaten,1,0,0,0,0,0,toxic,1
737,01fd0de4ca85352f,try productive look contribution hit head wall spoil greek child probably pay greek government purposely vandalize albania relate page iritate albanian editor explode ban historian blush find quote reliable information wikipedia page quality editor source time french page lot reader language till time wikipedia suck,1,0,0,0,0,0,toxic,1
817,022c678ddddb54fd,video game pete sake false video game article time throw cat window stop funny clever make moron bet person change test card date,1,0,0,0,0,0,toxic,1
830,024145ecee609f08,shut stay shut edit anymore,1,0,0,0,0,0,toxic,1
852,0251ad80bf585093,tard,1,0,0,0,0,0,toxic,1
853,0254d9e57a36fc64,ohhh sorry hurt little feel let shed couple tear lol joke bet feel pretty important pathetic little wikipedia volunteer fun live mother basement draw comic book lowlife,1,0,0,0,0,0,toxic,1
884,026a530134212936,offense great offense pompous sanctimonious twit think allow express appreciation woman gibson girl fine feature achingly beautiful creature know kind totalitarian feminazi dystopian agenda try foist people encyclopedia base free speech free exchange information bogus political correctness schoolmarmish think police gibson girl anyday,1,0,0,0,0,0,toxic,1
934,0291735c70214907,transistor transistor page principle operation section physicist know want share know work think come fairly decent concept work wiki think guy get jealous discuss pretty language pathetic naughty naughty eat,1,0,0,0,0,0,toxic,1
957,02a1ac2c706d3306,fisherqueen kindly stop follow delete thing user page get well piss people wikipedia,1,0,0,0,0,0,toxic,1
958,02a1d4b1ad3f5be0,jim burton child molest faggot day make total buffoon usual know sad extreme hypocritical arrogance lecture world ethical principle claim right abuse child ethical principle save life exactly roman poet say harlot doth rebuke chaste drop dead breathe little easy kid sake truly disgust word write,1,0,0,0,0,0,toxic,1
965,02a4e52899344a88,millinos hunjan look hunjan template hunjan fight concept art bull shit tharkarn waste man,1,0,0,0,0,0,toxic,1
974,02aa3f827a4c7cd6,bud bin way long time time outa mind long gooood shit latah dat soon gitz heah sum brotherz sistahs sez hance dead alive send zion ranger check condition sez whoa lead gib holler dis hollerin bro zion rangerz dem dat walkin tru wallz wall walkin dude bro harm jes checkin ben gentle remindah kum fuhst readin leedle postin dis dat good doan fohget cut sum zzzz aftah tad postin sleep good doan fergit dream sumptin kum jes bdh wrapt roun wid delta wave kupla otha carrierz diz cuss latah chow bro,1,0,0,0,0,0,toxic,1
1015,02c5be40edbd40cc,wikidon stop stalk,1,0,0,0,0,0,toxic,1
1023,02cbe8d8e800f936,real vagina real photo vagina mind new vagina picture indonesian vagina love,1,0,0,0,0,0,toxic,1
1045,02db639e00c7f4a8,away loser way standup boyfriend away,1,0,0,0,0,0,toxic,1
1096,02fe38c6d10c97a5,high horse block,1,0,0,0,0,0,toxic,1
1130,030f383eb9168991,blp violation comment oversite abuse admin tool pathetic cowardly funny talk fascist control gamergate article completely delete history prove point thing link suppose death threat brianna peddle medium prove complete fiction problem want anti gamergate lie expose,1,0,0,0,0,0,toxic,1
1165,0325d248b8875710,threaten try ban edit fine suggest account delete constantly delete entire paragraph completely ignore wikipedia policy regard instead tag edit suddenly bully nonsense know try look bad resort bully nonsense answer question neutral despite statement edit delete wikipedia tag place user page change fact delete entire paragraph sake word occasionally mistake put subjective word edit notice know edit admit write instead edit paragraph believe neutral mark delete entire paragraph policy wikipedia,1,0,0,0,0,0,toxic,1
